,Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak
51,Pengaruh Pembelajaran Melibatkan Self Efficacy dengan Teknik PQRST Terhadap Hasil Belajar Siswa pada Materi Instalasi Sistem Operasi,Alfan Fatoni,"Muchamad Arif, M.Pd.",Puji Rahayu Ningsih,"Abstrak
Hasil belajar dipengaruhi oleh faktor intern dan ekstern. Selain itu, diyakin ada faktor lain yang mempengaruhi hasil belajar yakni self efficacy, yang diartikan sebagai keyakinan seseorang terhadap kemampuan yang dimilikinya. Keyakinan tersebut mendorong seseorang untuk mencapai keberhasilan dan mampu menghadapi kesulitan saat mengerjakan tugas. Namun pentingnya self efficacy tidak dirasakan oleh siswa, seperti halnya pada siswa kelas X TKJ SMK Agung Mulia. Penelitian ini bertujuan untuk mengetahui pengaruh Self Efficacy terhadap hasil belajar siswa pada materi instalasi sistem operasi. Sampel penelitian ini berjumlah 27 siswa untuk kelas eksperimen dan 26 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes berupa pilihan ganda, analisis data menggunakan uji-t. Hasil penelitian ini diperoleh yaitu t_(hitung )= 5,158 > t_(tabel ) = 2,021 dengan ?=5% yang berarti Ho ditolak dan Ha diterima, artinya terdapat pengaruh self efficacy terhadap hasil belajar siswa pada materi instalasi sistem operasi kelas X TKJ di SMK Agung Mulia Socah Bangkalan. Rata-rata hasil akhir belajar siswa mengalami peningkatan yaitu pretest kelas eksperimen 52,74 dan posttest kelas eksperimen 69,62. Pretest kelas kontrol 50,51 sehingga posttest kelas kontrol 53,69. Sedangkan untuk uji kelayakan angket self efficacy memperoleh respon baik dengan nilai rata-rata 79,375. Disarankan kepada pihak sekolah dan orang tua siswa hendaknya senantiasa mendorong siswa agar mereka yakin pada kemampuan yang dimilik agar bisa menghadapi tugas-tugas yang diberikan.



Kata-kata Kunci : Self Efficacy, Hasil Belajar Siswa
"
52,PENGARUH MODEL PEMBELAJARAN KOOPERATIF TIPE TGT (TEAM GAMES TOURNAMENT) PADA MATERI PROTOKOL JARINGAN  TERHADAP HASIL BELAJAR SISWA KELAS X RPL SMK NEGERI 1 KAMAL,Saiful Bahri,"Ariesta Kartika Sari, S. Si., M. Pd.","Sigit Dwi Saputro, S. Pd., M. Pd.","Penelitian ini bertujuan untuk meningkatkan hasil belajar siswa melalui penerapan model pembelajaran kooperatif tipe TGT (Team Games Tournament) pada mata pelajaran jaringan  dasar  komputer di siswa kelas X RPL SMK Negeri 1 Kamal. Penelitian ini menggunakan jenis penelitian kuantitatif dan desain penelitian quasi eksperimental design dengan bentuk non equivalent control group design. Prosedur dalam penelitian ini ada 3 tahap yaitu (1) tahap persiapan, (2) tahap pelaksanaan, dan (3) tahap penyusunan hasil penelitian.

Penelitian menemukan bahwa : hasil belajar bagi siswa yang belajar dengan menggunakan model pembelajaran kooperatif tipe TGT (Team Games Tournament) lebih tinggi secara signifikan dibandingkan hasil belajar bagi siswa yang belajar dengan menggunakan model pembelajaran konvensional ceramah. Hal ini dibuktikan dengan thitung  (3,34)  lebih dari ttabel  sebesar 2,0484, maka hal ini diartiakan bahwa Ho ditolak dan Ha diterima,  terdapat pengaruh yang signifikan model pembelajaran kooperatif tipe TGT (Team Games Tournament)  kelas X RPL di SMK Negeri 1 Kamal. Hasil analisis uji gain ternormalisasi memperoleh rata-rata 0,59 dengan kategori “Sedang”. Sehingga dapat disimpulkan bahwa dengan menggunakan model pembelajaran kooperatif tipe TGT (Team Games Tournament) dapat mempengaruhi hasil belajar siswa.

Penelitian menyarankan : (1) Bagi guru, model pembelajaran kooperatif tipe TGT (Team Games Tournament) sebaiknya dilakukan secara rutin dan berkelanjutan, karena model pembelajaran ini efisien meningkatkan minat siswa dan hasil belajar siswa dalam materi protokol jaringan. (2) Bagi peneliti, diharapkan dalam penelitian selanjutnya mengkolaborasikan pembelajaran kooperatif tipe TGT (Team Games Tournament) dengan model pembelajaran yang lain seperti CTL (Contextual Teaching Learing).
"
53,Pengembangan Media Pembelajaran Game Edukasi Konversi Bilangan Menggunakan Unity 3D Berbasis Android Di SMK Al-Hikam Bangkalan,Ulfa Maisyarah,"Moch. Kautsar Sophan, S.Kom., M.MT.","Sigit Dwi Saputro, S.Pd., M.Pd","Pembelajaran sistem komputer materi konversi bilangan didominasi oleh metode ceramah dan buku teks tanpa mengembangkan media pembelajaran yang kreatif dan inovatif sehingga hasil belajar siswa kurang memuaskan. Diperlukan suatu inovasi dalam mengembangkan media pembelajaran. Model penelitian dan pengembangan yang digunakan adalah model ADDIE (Analysis, Design, Development, Implementation dan Evaluations). Penelitian ini dilakukan di SMK Al-Hikam Bangkalan. Siswa kelas X TKJ di SMK Al-Hikam digunakan sebagai subjek di penelitian ini. terdapat dua teknik analisa data yaitu analisis deskriptif kualitatif dan analisis statistik deskriptif. Instrumen penelitian yang digunakan adalah angket. Hasil persentase yang diperoleh  dari ahli materi dilihat dari sisi efektivitas, efisiensi dan daya tarik terhadap media adalah sebesar 90% dengan kualifikasi sangat tinggi. Hasil persentase dari ahli media adalah sebesar 84% dengan kualifikasi tinggi. Persentase yang diperoleh dari uji coba perorangan adalah sebesar 82% dengan kualifikasi tinggi. Sedangkan hasil persentase yang diperoleh dari uji coba kelompok kecil dan besar terhadap media adalah sama besarnya yaitu sebesar 87% dengan kualifikasi tinggi. Berdasarkan hasil persentase dari ahli media, ahli materi uji coba perorangan, uji coba kelompok kecil dan uji coba kelompok besar menunjukkan bahwa media pembelajaran game edukasi dilihat dari sisi efektivitas, efisiensi, dan daya tarik layak digunakan tanpa revisi."
54,PENGEMBANGAN MEDIA PEMBELAJARAN PENGENALAN JARINGAN UNTUK KELAS XI TKJ DI SMKN 1 KAMAL MENGGUNAKAN UNITY 3D,Indah Rodiatun Mardiyah,"Moch. Kautsar Sophan, S.Kom., M.MT.","Muchamad Arif, S.Pd., M.Pd.","Penelitian ini dilatar belakangi oleh buku cetak maupun modul kurang dapat memfasilitasi siswa dalam mempelajari materi tentang pengenalan jaringan yang mengakibatkan kurangnya motivasi dan minat belajar siswa yang akan berpengaruh pada hasil belajar. Salah satu alternatif yang dapat dilakukan untuk meningkatkan motivasi dan minat belajar siswa adalah dengan menggunakan media pembelajaran menggunakan Unity 3D pada materi pengenalan jaringan. Model penelitian pengembangan yang digunakan dalam penelitian ini menggunakan model ADDIE (Analisys, Design, Development, Implementation and Evaluation). Dalam penelitian ini diujicobakan kepada siswa kelas xi TKJ SMKN 1 Kamal. Hasil yang diperoleh dari uji coba kelompok kecil yaitu 93% dan uji coba kelompok besar yaitu 90%. Setelah dikonversikan pada tabel tingkat pencapaian dan kualifikasi, hasilnya mendapat kualifikasi sangat tinggi 90%-100% dengan keterangan sangat layak."
55,Efektivitas Metode Belajar Tutor Sebaya Pada Materi Aplikasi Jaringan Pada Sistem Operasi – operasi Komputer di Kelas X TKJ SMK Nurul Amanah,Ria Irmawati,"Puji Rahayu Ningsih, S.Pd., M.Pd","Sigit Dwi Saputro, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui efektivitas metode tutor sebaya pada mata pelajaran jaringan dasar materi aplikasi jaringan pada sistem operasi – operasi komputer di kelas 10 TKJ putera SMK Nurul Amanah. Penelitian ini merupakan penelitian kuantitatif yang menggunakan desain quasi eksperimental design.Pengambilan data menggunakan instrumen tes berupa pilihan ganda, analisis data menggunakan uji-t. Hasil penelitian yang diperoleh yaitu t_(hitung )= 3.649>t_(tabel ) = 2.068dengan ?=5% yang berarti Ho ditolak dan Ha diterima.
Hasil belajar siswa dengan menggunakan metode tutor sebaya melebihi hasil belajar siswa yang menggunakan metode ceramah.siswa kelas yang menggunakan metode tutor sebaya 60% mencapai ketuntasan belajar pada KKM 75. Aktivitas Siswa dan aktivitas guru termasuk kategori “baik”. Serta respon yang diberikan siswa baik dengannilai 82%. Sehingga dapat disimpulkan metode belajar tutor sebaya efektif pada mata pelajaran jaringan dasar materi aplikasi jaringan pada sistem operasi – operasi komputer di kelas 10 TKJ putera SMK Nurul Amanah. Disarankan kepada guru pengajar pengelolaan waktu perlu diperhatikan agar kegiatan pembelajaran dengan metode tutor sebaya berlangsung baik, terutama pada saat pembagian kelompok yang sangat memerlukan waktu. Saat pemilihan tutor sebaya juga harus memperhatikan kemampuan berkomunikasi karena pada penelitian ini diharapkan tutor sebaya dapat menjelaskan dengan bahasanya sendiri."
56,Analisis Minat Belajar Siswa Berdasarkan Gaya Belajar di SMK Negeri 1 Labang Kabupaten Bangkalan,Arifin Andra Putra,"Muchamad Arif, S.Pd.,M.Pd.","Sigit Dwi Saputro, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mendeskripsikan atau mengambarkan minat belajar siswa berdasarkan gaya belajar di SMK Negeri 1 Labang Bangkalan. Penelitian ini menggunakan pendekatan deskripsitif kualitatif. Subyek yang digunakan dalam penelitian ini adalah seluruh siswa kelas X TKJ 2 SMK Negeri 1 Labang Kabupaten Bangkalan. Instrumen yang digunakan dalam penelitian ini adalah angket gaya belajar dan angket minat belajar serta pedoman wawancara yang diisi oleh seluruh populasi penelitian dan wawancara dilakukan peneliti kepada sampel penelitian yang dipilih dengan teknik purposive sampling. Data yang telah terkumpul kemudian direduksi, ditriangulasi, kemudian dianalisis oleh peneliti.
Hasil dari penelitian ini menunjukkan bahwa dari seluruh populasi penelitian, siswa dengan gaya belajar visual sebanyak 9 siswa memiliki minat belajar belajar intrinsik 56 % dan minat belajar ektrinsik 44 %, kemudian siswa dengan gaya belajar audio sebanyak 11 siswa memiliki minat belajar intrinsik 45 % dan minat belajar ektrinsik 55 %, dan siswa dengan gaya belajar kinestetik sebanyak 11 siswa memiliki minat belajar intrinsik 73 % dan minat belajar ektrinsik 27 %. Secara keseluruhan, kecenderungan minat belajar siswa berdasarkan gaya belajar visual adalah minat belajar intrinsik, audio adalah minat belajar ektrinsik, dan kinestetik adalah minat belajar intrinsik."
57,Analisis Motivasi Belajar Siswa Pada Materi Instalasi Pengujian Pheriperal Ditinjau Dari Kepribadian Siswa Di SMK Negeri 1 arosbaya,Megi Aprilla Samudera Fahat,"Wanda Ramansyah, S.Pd.,M.Pd.","Muchamad Arif, S.Pd.,M.Pd.","Tujuan penelitian ini untuk mendeskripsikan atau menggambarkan motivasi belajar siswa SMKN 1 Arosbaya yang ditinjau dari kepribadian siswa. Penelitian ini menggunakan pendekatan kualitatif deskriptif. Informan yang digunakan dalam penelitian ini adalah seluruh siswa kelas X TKJ di SMKN 1 Arosbaya. Pengumpulan data yang digunakan yaitu angket, wawancara, dan dokumentasi. Data yang telah terkumpul kemudian direduksi, dan ditriangulasikan, kemudian dianalisis oleh penelitian. Tujuan dari penelitian ini adalah: (1) untuk mendeskripsikan atau menggambarkan motivasi belajar siswa pada materi instalasi pengujian pheriperal yang ditinjau dari kepribadian siswa di SMKN 1 Arosbaya.
Kepribadian ekstrovert merupakan individu yang mudah beradaptasi dengan lingkungan, sedangkan kepribadian introvert merupakan individu yang dicirikan pendiam. Motivasi intrinsik adalah motivasi yang timbul dari dalam diri sendiri tanpa adanya pengaruh dari orang lain, sedangkan motivasi ekstrinsik adalah motivasi yang timbul karena pengaruh orang lain. Hasil dari penelitian ini yaitu Jumlah dari siswa yang memiliki tipe kepribadian introvert adalah 12 siswa terdiri dari 7 siswa yang memiliki jenis motivasi belajar ekstrinsik dan 5 siswa yang memiliki jenis motivasi intrinsik, dengan jumlah presentasi motivasi ekstrinsik yaitu 36% sementara jumalah presentasi motivasi intrinsik yaitu 63% . Sedangkan siswa yang memiliki tipe kepribadian introvert berjumlah 11 siswa terdiri dari 4 siswa yang memiliki jenis motivasi intrinsik dan 7 siswa yang memiliki jenis motivasi ekstrinsik, dengan jumlah presentasi motivasi ekstrinsik yaitu 58% sementara jumlah presentasi motivasi intrinsik yaitu 41%."
58,"PENGEMBANGAN MOBILE LEARNING BERBASIS ANDROID PADA MATA PELAJARAN JARINGAN DASAR KELAS X JURUSAN TKJ
(STUDI KASUS: SMK NEGERI 1 LABANG)",Dwi Rohmatul Maulidah,"Eka Mala Sari Rochman, S.Kom., M.Kom.","Medika Risnasari, S.ST., M.T.","Mata pelajaran jaringan dasar merupakan mata pelajaran wajib yang diikuti oleh siswa SMK kelas X SMK jurusan TKJ. Mata pelajaran jaringan dasar mempelajari tentang Konsep Teknologi Jaringan Komputer, Model OSI, Topologi Jaringan dan Media Jaringan. Pada proses belajar mengajar terdapat permasalahan yaitu seringnya guru menggunakan metode ceramah, media pembelajaran yang berupa modul BSE (Buku Sekolah Elektronik) yang tidak tercetak, sedangkan siswa banyak yang memiliki smartphone.
Penelitian ini bertujuan untuk mengembangkan media pembelajaran yang berupa aplikasi mobile learning berbasis android tentang mata pelajaran jaringan dasar. Dalam pembuatan aplikasi ini menggunakan bahasa pemrograman berbasis Java. Banyaknya siswa yang mempunyai smartphone mampu menjadikan aplikasi ini sebagai penunjang pembelajaran. 
Prosedur pengembangan penelitian ini digunakan metode penelitian dan pengembangan dengan model pengembangan 4D dengan empat tahap yaitu Define (Pendefinisian), Design (Desain), Development (Pengembangan), Dissemination (Penyebarluasan). Hasil dari uji coba pengembangan produk ini adalah uji coba kelompok kecil mendapatkan hasil 90% dan uji coba kelompok besar mendapatkan hasil 87%. Dapat disimpulkan bahwa media pembelajaran ini “layak” dimanfaatkan oleh siswa dalam proses pembelajaran jaringan dasar di SMK Negeri 1 Labang.

Kata-kata Kunci: mobile, android, media pembelajaran, jaringan dasar, 4D.
"
59,"PENGEMBANGAN SISTEM INFORMASI RAPOR ONLINE BERBASIS WEB MENGGUNAKAN FRAMEWORK CODEIGNITER
(STUDI KASUS: SMP NEGERI 3 KAMAL)",Muhammad Hammam Nasyruddin,"Wahyudi Agustiono, S.Kom., M.Sc., Ph.D","Medika Risnasari, S.ST., M.T.","Dalam dunia pendidikan Indonesia, teknologi sangat berperan dalam perkembangan pendidikan di indonesia. Tidak terkecuali teknologi informasi dan komunikasi. Salah satu contoh penerapan teknologi informasi dan komunikasi yang mulai banyak dilakukan di disekolah adalah dengan merancang dan membuat sistem penilaian siswa berbasis online. Oleh karena itu penelitian ini bertujuan untuk merancang dan membangun sistem informasi rapor online berbasis web menggunakan framework codeigniter.
Penelitian ini merupakan penelitian pengembangan dengan menggunakan studi pengolah nilai di SMP Negeri 3 Kamal. Sekolah ini dipilih karena masih menggunakan konten lama berupa aplikasi macro dari excel yang masih terdapat beberapa kekurangan dan masih banyak terdapat bug atau kecacatan sistem, serta dicetak dalam bentuk hardfile berupa buku rapor konvensional. Dalam penggunaannya guru-guru masih mengalami banyak kendala yang disebabkan oleh kecacatan sistem tersebut. Dari permasalahan tersebut perlu adanya sistem informasi rapor online berdasarkan kurikulum K13 yang mempermudah dalam hal mengelola penilaian dan memantau perkembangan nilai siswa. 
Prosedur pengembangan yang digunakan oleh peneliti dalam proses pembuatan sistem informasi rapor online adalah model penelitian waterfall. Terdiri dari Requirement (Analisis Kebutuhan), Design System (Desain Produk), Coding and Testing (Implementasi), Integration and Testing (Pengujian), Operation and Maintenance (Pemeliharaan). Berdasarkan hasil dari kuisioner uji ahli dengan aspek usability mendapatkan hasil 82% uji coba lapangan mendapatkan hasil 87%. Hasil tersebut menunjukkan bahwa sistem informasi rapor online berbasis web menggunakan framework codeigniter layak untuk diterapkan dan digunakan sebagai sistem informasi rapor online di SMP Negeri 3 Kamal.

Kata-kata Kunci: sistem informasi, rapor, online, web, codeigniter, waterfall
"
60,PENGEMBANGAN SISTEM INFORMASI BIMBINGAN DAN KONSELING BERBASIS WEB DI SMK NEGERI 2 BANGKALAN,ATIQATUL QUDSIYYAH,"WAHYUDI AGUSTIONO, S.Kom., M.Sc., Ph.D.","PUJI RAHAYU NINGSIH, S.Pd., M.Pd.","Kata-kata Kunci: bimbingan dan konseling, sistem informasi, waterfall, web.
Di era modern ini, perkembangan teknologi tidak dapat dipungkiri lagi manfaatnya karena dianggap dapat meringankan pekerjaan, hampir semua instansi  membutuhkan teknologi. Salah satunya adalah sekolah. Mayoritas sekolah yang ada memanfaatkan teknologi untuk kemajuan sekolah tersebut. SMKN 2 Bangkalan merupakan salah satu sekolah yang membutuhkan teknologi informasi untuk kemudahan sistem pelaporan pelanggaran peserta didik. Kemudahan yang diharapkan oleh SMKN 2 Bangkalan di antaranya adalah terkait pendataan prestasi, pendataan pelanggaran, dan track record  pelanggaran yang dilakukan peserta didik. Dari permasalahan tersebut, dibuatlah pengembangan sistem informasi bimbingan dan konseling berbasis web di SMKN 2 Bangkalan agar pekerjaan guru BK dapat lebih efektif dan efisien. Tujuan dari penelitian ini adalah agar pendataan pelanggaran peserta didik tidak lagi manual dan lebih terkomputerisasi. Penelitian ini menggunakan metode research and development(R&D) dengan model waterfall. Penelitian ini dibagi menjadi 4 tahap yaitu analisis, desain, pengkodean, dan pengujian. Subjek dari penelitian ini adalah ahli sistem informasi, ahli isi, dan pengguna yaitu guru BK. Sedangkan teknik analisis data yang digunakan adalah analisis data kuantitatif dan analisis data kualitatif. Hasil yang didapat dari penyebaran angket kepada ahli sistem adalah 100% sistem berfungi, angket kepada ahli isi adalah 90% sistem memiliki isi sesuai dengan kebutuhan guru BK, dan angket pengguna adalah 87,97% sistem mudah dioperasikan. Dari hasil tersebut dapat disimpulkan bahwa pengembangan sistem informasi BK sangat valid dan dapat digunakan tanpa perbaikan.
"
61,Pengembangan Sistem Informasi Penerimaan Siswa Baru Berbasis Web di SMA 1 Annuqayah Sumenep,Achmad Syafi Zain,"Eka Mala Sari Rochman. S, Kom","Muchamad Arif, S.Pd., M.Pd","Saat ini belum banyak sekolah di Indonesia mengembangkan sistem informasi  Penerimaan  Siswa   Baru   (PSB) pada sistem  infomasi berbasis web.  Dengan  manfaat  dan  kemudahan teknologi yang sudah ada, sudah seharusnya pengembangan sistem informasi penerimaan siswa baru (PSB) ini dikembangkan oleh tiap-tiap sekolah. Sistem PSB di SMA 1 Annuqayah masih menggunakan sistem manual atau melalui brosur. Dari permasalahan tersebut maka tujuan dari penelitian ini adalah untuk membantu pihak sekolah dalam proses penerimaan siswa baru berbasis web agar proses PSB berjalan efektif.
Prosedur Pengembangan dalam penelitian ini, mengacu pada model pengembangan yang digunakan dalam mengembangkan produk Sistem Informasi ini adalah ADDIE, dengan 5 tahapan sebagai berikut  yaitu Analysis (analisis), Design (perancangan), Development (pengembangan), Implementation (implementasi) dan tahap Evaluation (evaluasi). Tahap pengembangan perangkat sistem informasi, dalam penelitian ini adalah produk berupa sistem informasi penerimaan siswa baru berbasis web  di SMA 1 Annuqayah Sumenep. Penilaian yang diperoleh dari ahli Validasi oleh ahli desain kinerja diperoleh persentase 97 %, ahli desain sistem persentase 95 %, hasil   persentase desain kinerja 89,3% hasil  persentase desain tampilan 87,6%. Kesimpulan yang dapat diambil dari penelitian ini adalah sistem informasi yang dihasilkan dapat membantu mempermudah siswa dalam mendaftar dan panitia untuk melaksanakan PSB Online.

Kata-kata Kunci : Penerimaan Siswa  Baru  (PSB), Sistem Informasi, Berbasis Web, model Addie
"
